Dataset,Split,Uncertainty_axis,Coverage,n_kept,mean_uncertainty_kept,rho,candidate_pool,uncertainty_k,mean_LU_full,mean_SU_full,mean_alpha_full,B1 visual-only_R@1,B1 visual-only_risk,B2 fixed fusion_R@1,B2 fixed fusion_risk,V1 sigmoid+threshold_R@1,V1 sigmoid+threshold_risk,V2 calibrated precision_R@1,V2 calibrated precision_risk
Nordland-clean,full,joint_variance,0.05,20,0.4090188443660736,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,55.00000000000001,44.99999999999999,45.0,55.0,55.00000000000001,44.99999999999999,55.00000000000001,44.99999999999999
Nordland-clean,full,joint_variance,0.1,40,0.5564688444137573,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,60.0,40.0,55.00000000000001,44.99999999999999,65.0,35.0,57.49999999999999,42.50000000000001
Nordland-clean,full,joint_variance,0.2,80,0.7445999383926392,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,66.25,33.75,58.75,41.25,66.25,33.75,62.5,37.5
Nordland-clean,full,joint_variance,0.3,120,0.8868541717529297,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,67.5,32.5,61.66666666666667,38.33333333333333,68.33333333333333,31.66666666666667,65.0,35.0
Nordland-clean,full,joint_variance,0.4,160,1.0001236200332642,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,65.625,34.375,58.12500000000001,41.87499999999999,65.0,35.0,62.5,37.5
Nordland-clean,full,joint_variance,0.5,200,1.1008307933807373,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,63.5,36.5,57.99999999999999,42.00000000000001,64.0,36.0,62.5,37.5
Nordland-clean,full,joint_variance,0.6,240,1.1913070678710938,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,60.83333333333333,39.16666666666667,55.00000000000001,44.99999999999999,60.83333333333333,39.16666666666667,58.75,41.25
Nordland-clean,full,joint_variance,0.7,280,1.2780295610427856,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,59.285714285714285,40.714285714285715,52.5,47.5,58.92857142857143,41.07142857142857,57.14285714285714,42.85714285714286
Nordland-clean,full,joint_variance,0.8,320,1.3713855743408203,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,57.8125,42.1875,50.9375,49.0625,58.12500000000001,41.87499999999999,55.93749999999999,44.06250000000001
Nordland-clean,full,joint_variance,0.9,360,1.4795912504196167,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,56.666666666666664,43.333333333333336,48.888888888888886,51.111111111111114,56.94444444444444,43.05555555555556,54.72222222222223,45.27777777777777
Nordland-clean,full,joint_variance,1.0,400,1.6114038228988647,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,52.75,47.25,45.75,54.25,53.0,47.0,50.5,49.5
